-1.24, -1.59, 4.53, tv
-0.06, -0.08, 1.84, laptop
0.16, 0.05, 0.32, cup
1.38, -0.28, 1.48, person
1.31, -0.13, 0.94, person
0.86, -0.07, 1.18, laptop
-0.05, -0.07, 1.72, laptop
0.16, 0.05, 0.32, cup
1.31, -0.14, 0.94, person
1.37, -0.28, 1.48, person
-1.23, -1.57, 4.51, tv
0.86, -0.07, 1.17, laptop
-0.04, -0.07, 1.79, laptop
1.39, -0.29, 1.47, person
0.16, 0.05, 0.33, cup
1.31, -0.15, 0.93, person
0.72, -0.11, 1.24, bottle
-1.29, -1.62, 4.73, tv
0.87, -0.08, 1.18, laptop
-0.02, -0.07, 1.86, laptop
1.39, -0.30, 1.45, person
0.16, 0.05, 0.32, cup
1.31, -0.17, 0.93, person
-1.22, -1.54, 4.61, tv
0.87, -0.08, 1.16, laptop
-0.02, -0.06, 1.77, laptop
1.39, -0.31, 1.43, person
0.16, 0.05, 0.32, cup
1.31, -0.19, 0.92, person
0.70, -0.11, 1.18, bottle
-1.19, -1.50, 4.55, tv
0.88, -0.09, 1.15, laptop
-0.06, -0.06, 1.83, laptop
0.16, 0.05, 0.33, cup
1.38, -0.31, 1.48, person
1.30, -0.18, 0.94, person
-1.28, -1.51, 4.49, tv
-0.03, -0.05, 1.79, laptop
1.40, -0.32, 1.45, person
0.16, 0.05, 0.33, cup
1.31, -0.21, 0.93, person
0.88, -0.09, 1.17, laptop
-1.29, -1.56, 4.74, tv
-0.02, -0.06, 1.76, laptop
1.39, -0.31, 1.45, person
0.16, 0.05, 0.33, cup
1.32, -0.22, 0.93, person
0.69, -0.11, 1.18, bottle
0.89, -0.09, 1.18, laptop
-1.39, -1.68, 5.08, tv
-0.01, -0.05, 1.77, laptop
0.16, 0.05, 0.33, cup
0.88, -0.09, 1.17, laptop
-1.35, -1.63, 4.96, tv
-0.01, -0.05, 1.86, laptop
1.39, -0.33, 1.42, person
0.16, 0.05, 0.33, cup
0.88, -0.09, 1.15, laptop
-0.02, -0.05, 1.78, laptop
1.38, -0.33, 1.43, person
0.16, 0.05, 0.32, cup
0.70, -0.11, 1.19, bottle
0.87, -0.10, 1.15, laptop
-0.02, -0.05, 1.86, laptop
1.39, -0.33, 1.44, person
0.16, 0.05, 0.33, cup
-1.80, -0.44, 3.00, person
0.87, -0.10, 1.15, laptop
-1.35, -1.54, 4.88, tv
-0.02, -0.05, 1.87, laptop
1.37, -0.33, 1.42, person
0.16, 0.05, 0.33, cup
0.87, -0.09, 1.15, laptop
0.70, -0.11, 1.17, bottle
-1.38, -1.61, 5.07, tv
-0.01, -0.05, 1.79, laptop
1.37, -0.33, 1.42, person
0.16, 0.05, 0.33, cup
0.70, -0.11, 1.19, bottle
0.87, -0.09, 1.14, laptop
-0.00, -0.05, 1.83, laptop
1.37, -0.33, 1.42, person
0.16, 0.05, 0.33, cup
-0.65, -0.15, 1.25, person
0.88, -0.09, 1.15, laptop
0.71, -0.11, 1.19, bottle
-0.01, -0.06, 1.92, laptop
1.36, -0.32, 1.41, person
0.16, 0.05, 0.33, cup
0.71, -0.11, 1.20, bottle
0.88, -0.09, 1.15, laptop
-0.00, -0.05, 1.90, laptop
1.36, -0.32, 1.42, person
0.16, 0.05, 0.33, cup
0.88, -0.09, 1.15, laptop
-2.12, -0.52, 3.55, person
-0.01, -0.05, 1.86, laptop
1.36, -0.32, 1.42, person
0.16, 0.05, 0.33, cup
0.87, -0.10, 1.14, laptop
-1.24, -1.48, 4.65, tv
-0.02, -0.05, 1.85, laptop
1.35, -0.32, 1.41, person
0.16, 0.05, 0.33, cup
0.74, -0.12, 1.26, bottle
0.88, -0.10, 1.15, laptop
3.38, -0.29, 2.50, chair
-0.02, -0.05, 1.87, laptop
1.35, -0.33, 1.42, person
0.16, 0.05, 0.33, cup
0.88, -0.10, 1.16, laptop
0.73, -0.12, 1.25, bottle
4.99, -1.22, 3.04, person
3.29, -0.29, 2.42, chair
-0.02, -0.05, 1.82, laptop
1.35, -0.32, 1.42, person
0.16, 0.05, 0.33, cup
0.87, -0.10, 1.15, laptop
5.34, -1.28, 3.24, person
3.29, -0.28, 2.41, chair
-0.02, -0.05, 1.90, laptop
1.37, -0.33, 1.43, person
0.16, 0.05, 0.33, cup
0.88, -0.09, 1.15, laptop
3.19, -0.27, 2.30, chair
0.70, -0.11, 1.19, bottle
-0.02, -0.05, 1.86, laptop
0.16, 0.05, 0.33, cup
1.35, -0.33, 1.42, person
0.88, -0.10, 1.16, laptop
3.02, -0.25, 2.18, chair
0.71, -0.11, 1.20, bottle
4.10, -0.94, 2.48, person
-0.01, -0.05, 1.89, laptop
0.16, 0.05, 0.33, cup
1.35, -0.32, 1.42, person
0.88, -0.09, 1.15, laptop
0.69, -0.11, 1.16, bottle
2.99, -0.25, 2.16, chair
4.91, -1.11, 2.91, person
-1.29, -1.53, 4.78, tv
-0.02, -0.05, 1.81, laptop
0.16, 0.05, 0.33, cup
1.31, -0.33, 1.48, person
0.87, -0.09, 1.15, laptop
3.14, -0.26, 2.27, chair
0.68, -0.11, 1.16, bottle
-0.02, -0.05, 1.79, laptop
0.16, 0.05, 0.33, cup
1.34, -0.32, 1.43, person
0.86, -0.09, 1.15, laptop
0.70, -0.11, 1.21, bottle
3.18, -0.26, 2.32, chair
-0.01, -0.05, 1.83, laptop
1.36, -0.33, 1.43, person
0.16, 0.05, 0.33, cup
0.88, -0.09, 1.16, laptop
